#TYPE Selected.System.String
"SERVER","STATICROUTE01","STATICROUTE01_SUN","SCRIPT"
"SHHWSR0390.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0391.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0392.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0396.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0397.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0401.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0402.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0403.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0409.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0410.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0411.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0412.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0413.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0414.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0416.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0417.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0418.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0420.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0421.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0422.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0423.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0424.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0425.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0426.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0427.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0428.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0429.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0430.global.schindler.com","Deleted","Deleted","Deleted"
