#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"SHHWSR0130.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0131.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0132.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"SHHWSR0133.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"shhwsr0134.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"shhwsr0135.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0136.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0139.global.schindler.com","2.0","Restricted","Running","4.5.51209"
"SHHWSR0140.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0141.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0143.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0144.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0145.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0154.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0160.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0166.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0167.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0168.global.schindler.com","2.0","Restricted","Running","4.5.51209"
"SHHWSR0169.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0173.global.schindler.com","2.0","Restricted","Running","4.5.51209"
"SHHWSR0174.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0176.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0177.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0178.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0180.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0181.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0182.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0183.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0184.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0186.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0188.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0189.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0195.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0196.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0200.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"SHHWSR0201.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0202.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0203.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0207.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SHHWSR0212.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SHHWSR0214.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0215.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0216.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0220.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"SHHWSR0221.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"SHHWSR0222.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0224.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0225.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0227.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0228.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0229.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0231.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0234.global.schindler.com","3.0","RemoteSigned","Running","4.6.01055"
"SHHWSR0235.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0236.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0237.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0238.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0239.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0240.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0241.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0242.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0246.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0247.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0248.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0249.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0260.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0261.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0262.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0263.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0265.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SHHWSR0266.global.schindler.com","3.0","RemoteSigned","Running","4.6.01055"
"SHHWSR0267.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"SHHWSR0269.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0270.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0271.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0273.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0274.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0275.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0276.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0277.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0280.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
