"PSComputerName","Name","IsDomainAccount","AdminByMemberOf"
"SCHWSR0015.global.schindler.com","admkipferer","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","svcsdbsafecomsfcsvc","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admrengglad","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","retired10064_admrichenmi","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admglanzmda","True","SCH_RES_SY_SCHWSR0015_ADMIN"
"SCHWSR0015.global.schindler.com","admfelderro","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admschueral","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admbalmerch","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admineichs2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admbergerr4","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admgeorguco","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admeicherva","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admeglim2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admschmidti","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","retired185185_admbucherju","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admkuengst","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admbersinni","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admkochm5","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admandergjo","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admfeuerhfr","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admvonallcl","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","admhuwilepa","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","eglim2","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","eicherva","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","schmidti","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","retired181739_bucherju","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","felderro","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","schueral","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","kuengst","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
"SCHWSR0015.global.schindler.com","andergjo","True","SHH_RES_SY_SERVER_EBI-HELPDESK-ADMIN"
