#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0269","SharePoint - SEM2015.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint Central Administration v4","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - apple.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - yourfirstchoice.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - project-wiki.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - dtfcommunity.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","sap","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - eforms.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0269","SharePoint - deucommunity.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0283","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0283","SHHWSR0283","C:\inetpub\logs\LogFiles"
"SHHWSR0377","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0377","SAP_Content_Server","D:\inetpub\logs\LogFiles"
"SHHWSR0221","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SITE_2","C:\inetpub\logs\LogFiles"
"SHHWSR0221","AgoraHub","C:\inetpub\logs\LogFiles"
"SHHWSR0221","PWA - 4321","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SharePoint - 80","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SharePoint - 8080","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SharePoint - 81","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0221","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0224","Default Web Site","D:\Logs\IIS"
"SHHWSR0224","SharePoint Web Services","D:\Logs\IIS"
"SHHWSR0224","SharePoint - 80","D:\Logs\IIS"
"SHHWSR0224","AgoraHub","D:\Logs\IIS"
"SHHWSR0224","SharePoint - 8080","D:\Logs\IIS"
"SHHWSR0224","SharePoint - 3128","D:\Logs\IIS"
"SHHWSR0224","PWA","D:\Logs\IIS"
"SHHWSR0224","SharePoint Central Administration v4","D:\Logs\IIS"
"SHHWSR0368","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0384","RM","D:\Logs\Iis\RM"
"SHHWSR0384","RMDAL","D:\Logs\Iis\RMDAL"
"SHHWSR0384","TACom","D:\Logs\Iis\TACom"
"SHHWSR0168","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0168","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0169","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0169","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0170","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0170","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0170","BackupCheck","C:\inetpub\logs\LogFiles"
